번호,상호,영업표지,대표자,등록번호,업종
1,(주)더본코리아,백종원의원조쌈밥집,백종원,20080100207,한식
2,(주)더본코리아,백철판0410,백종원,20150417,한식
3,(주)더본코리아,백스비빔밥,백종원,20120100315,한식
4,행진푸드,행진푸드,문지영,20200872,한식
5,(주)향기나는사람들,시루향기,"진희승, 박병수, 이용배, 어중혁",20100500023,한식
6,와우족발,와우족발,양종윤,20200875,한식
7,(주)나도람에프씨,바른계념식당,엄태운,20200874,한식
8,(주)더본코리아,돌배기집,백종원,20140495,한식
9,(주)더본코리아,인생설렁탕,백종원,20190275,한식
10,무봉리토종순대국체인본부,무봉리토종순대국,김종복,20120100397,한식
11,(주)지케이홀딩스,원조명품진갈비,정해광,20200873,한식
12,언양닭칼국수,언양닭칼국수,고영민,20191312,한식
13,찬우축산(주),육미트(6Meat),문상규,20161200,한식
14,(주)우림에프씨,진송추어탕,김병주,20141224,한식
15,(주)한울김치도가,김치도가,백창기,20190155,한식
16,미러유에프앤디(주),미러유 조개칼국수,계애경,20200870,한식
17,(주)디딤,연남숯불닭갈비,이범택,20190867,한식
18,(주)디딤,진미국수,이범택,20190866,한식
19,(주)디딤,연안해물칼국수,이범택,20171422,한식
20,(유)케이앤에스오로지,삶다 오로지 족발,"김용순, 송지홍",20180692,한식
21,(주)디딤,한라담,이범택,20190828,한식
22,(주)디딤,반달전집,이범택,20190865,한식
23,(주)디딤,미추냉삼,이범택,20181285,한식
24,(주)디딤,애플삼겹살,이범택,20160031,한식
25,(주)디딤,신마포갈매기,이범택,20090100099,한식
26,(주)디딤,차돌6키로,이범택,20180140,한식
27,(주)디딤,연안식당,이범택,20171421,한식
28,(주)디딤,황금식당,이범택,20170659,한식
29,(주)스타셀러,별을 품은 곱창,이승훈,20180122,한식
30,(주)디딤,호랭이곱창,이범택,20150047,한식
31,마에똥,마에똥,이진유,20200871,한식
32,(주)디딤,도시수산시장,이범택,20200860,한식
33,(주)더드림에프에스,완산골명가,정광현,20160785,한식
34,(주)토장원,김해시락국밥,이철우,20120300037,한식
35,(주)디딤,고래식당,이범택,20161233,한식
36,(주)호인푸드,장인미역,박민주,20200863,한식
37,(주)디딤,고래감자탕,이범택,20170223,한식
38,(주)더광일푸드,THE 팔당,정광일,20181359,한식
39,서울물류,경복궁개성손만두,김도윤,20160727,한식
40,(주)엠디엠,막돼먹은막창,박승열,20141044,한식
41,(주)자성화,자성화 맛집 코다리네,김영배,20171515,한식
42,(주)도산서갈비,도산서 갈비,이용훈,20200858,한식
43,(주)거성에프앤비,냉철한삼겹,"박형수, 고재욱",20200852,한식
44,(주)손문에프앤씨,손문대구막창갈매기살,손종인,20120100323,한식
