번호,상호,영업표지,대표자,등록번호,업종
1,(주)게이트에프앤비,게이트나인(GATE9),정일찬,20171510,기타 외국식
2,알로하포케,알로하포케,김지후,20160754,기타 외국식
3,(주)제이투케이에프앤비,영칼로리 쌀국수,정현택,20181238,기타 외국식
4,(주)글로리본,리틀하노이(LittleHANOI),송태융,20161178,기타 외국식
5,컴포,컴포(co'm PHO),남상택,20150631,기타 외국식
6,(주)에머이,Emoi(에머이),김명상,20170316,기타 외국식
7,(주)에버리치에프앤비,망고오믈렛,변동섭,20200776,기타 외국식
8,(주)도스마스,도스마스,이규하,20120100560,기타 외국식
9,(주)이랜드이츠,다구오,김완식,20170830,기타 외국식
10,(주)이랜드이츠,아시아문,김완식,20170831,기타 외국식
11,(주)이랜드이츠,스테이크어스,김완식,20200104,기타 외국식
12,(주)천지,경성양꼬치,김욱동,20120100631,기타 외국식
13,(주)별동부대,분짜라붐,이상윤,20170875,기타 외국식
14,(주)하와이팩토리,하와이새우트럭,김영애,20171142,기타 외국식
15,(주)플랜지,엉클인더키친,권태우,20190238,기타 외국식
16,엠아이비코리아,월면가,주기홍,20181289,기타 외국식
17,(주)엘에이치지,월쌈,최순남,20200256,기타 외국식
18,(주)메콩타이컴퍼니,메콩타이,최덕진,20130100223,기타 외국식
19,램프에프엔비(LAMPF&B),갓샐러드,윤하영,20200044,기타 외국식
20,(주)엘에이치지,포센,최순남,20200270,기타 외국식
21,(주)위드런,싸와디식당,조기원,20200114,기타 외국식
22,㈜핵가족,핵밥,양동모,20200463,기타 외국식
23,(주)핵가족,핵스테이크,양동모,20160417,기타 외국식
24,(주)티엘에프앤씨,하노이포베트남쌀국수,임민우,20180238,기타 외국식
25,(주)늘솜,생어거스틴,심지용,20120100060,기타 외국식
26,포호아코리아(주),포호아,호연석,20080100338,기타 외국식
27,(주)바로에프에스,그린하노이,이상규,20100300043,기타 외국식
28,(주)제이에이치,램플러스,김종호,20160097,기타 외국식
29,무지네생선,마스터쌀국수,박대근,20200618,기타 외국식
30,(주)유생촌푸드,유생촌,유영철,20150215,기타 외국식
31,용기있는사람들,유미당,배명덕,20200586,기타 외국식
32,인더비엣,인더비엣,장희중,20190611,기타 외국식
33,(주)일공공코리아,일공공샤브,마상준,20180428,기타 외국식
34,(주)피엠씨에프앤비,리틀파파포(Little PAPA Pho),하빈이,20180246,기타 외국식
35,(주)어니스트초이스,보나끼,배수형,20170286,기타 외국식
36,(주)인피플컴퍼니,부리또인,허대영,20171123,기타 외국식
37,(주)제니하우스,왕가탕후루,정철훈,20200176,기타 외국식
38,(주)포로이,포로이,최재혁,20120100551,기타 외국식
39,(주)엔씨코리아푸드,뎁짜이,김좌윤,20171236,기타 외국식
40,(주)미각,미각양꼬치,오향숙,20161174,기타 외국식
41,(주)원스에프앤비,포으니,조창덕,20180460,기타 외국식
42,(주)케이미트선왕,철판목장,서정호,20150105,기타 외국식
43,인터베이스,타코맨,김수연,20100100023,기타 외국식
44,(주)케이브릿지,카츄마마,김혜영,20160477,기타 외국식
45,"TacoBellAsiaFranchising,LLC",Taco Bell,Jeff Stearman,20100100300,기타 외국식
46,(주)퍼틴코리아,퍼틴(phothin),김선영,20200337,기타 외국식
47,(주)제이이글로벌,나이쏘이(NAISOI),임지은,20180502,기타 외국식
48,(주)벱비엣,벱비엣(BEPVIET),양재영,20200274,기타 외국식
49,(주)트리플에이컴퍼니,베트남노상식당,전운기,20160392,기타 외국식
50,브링커인터내셔널잉크,칠리스 그릴 앤 바,Wyman T. Roberts,20130082,기타 외국식
51,(주)디에이치그룹,chefdog,박수훈,20160229,기타 외국식
52,(주)존쿡,샌드위밋,조성수,20191264,기타 외국식
53,비컨홀딩스(주),오랄레,유성호,20160045,기타 외국식
54,㈜존쿡,존쿡델리미트,조성수,20191263,기타 외국식
55,비컨홀딩스(주),토마틸로,유성호,20160044,기타 외국식
56,포첸하우스(Phochenhouse),포첸하우스(Phochenhouse),오인숙,20180963,기타 외국식
57,홍대쌀국수,홍대쌀국수,하윤국,20171098,기타 외국식
58,마루돈스텍,마루돈스텍,"김민숙, 유충현",20100300039,기타 외국식
59,(주)케이푸드코리아코퍼레이션,반미362,홍세훈,20191086,기타 외국식
60,바음푸드,배달의쌀국수,안준모,20180349,기타 외국식
61,달링스테이크,달링스테이크,노경호,20180127,기타 외국식
62,(주)세지푸드,르번미(Lebunmie),김상춘,20151014,기타 외국식
63,(주)트렌차이즈,아리가또맘마,김재훈,20110100228,기타 외국식
64,(주)포트리스,포트리스,권영선,20190058,기타 외국식
65,(주)트렌차이즈,포38(PHO38),김재훈,20160547,기타 외국식
66,(주)푸디플랜,포앤반(PHO&BANH),"권종석, 김혜영",20180458,기타 외국식
67,(주)도스타코스,도스타코스,박성준,20100100024,기타 외국식
68,(주)포베이,포베이,박은정,20130181,기타 외국식
69,바나나립(주),바나나테이블,배정완,20160265,기타 외국식
70,(주)글로벌프렌드,사이공본가,최경자,20190930,기타 외국식
71,크래프트브루(CRAFTBREW),크래프트브루,박민수,20181360,기타 외국식
72,(주)오리엔탈푸드코리아,코코크랩,박규성,20181240,기타 외국식
73,(주)지디엠홀딩스,아로이찡찡,도영돈,20190891,기타 외국식
74,(주)오리엔탈푸드코리아,호아빈,박규성,20080200005,기타 외국식
75,(주)오리엔탈푸드코리아,포세븐,박규성,20161296,기타 외국식
76,(주)오리엔탈푸드코리아,분짜라임,박규성,20171127,기타 외국식
77,(주)엠브이다이닝,번패티번,김성환,20171473,기타 외국식
78,(주)미분당,미분당,이광숙,20180881,기타 외국식
79,(주)아시아푸드리퍼블릭,포보스,문대성,20130100440,기타 외국식
80,(주)씨에스피푸드,씨에스피 르사이공,유용니콜라스제이,20160750,기타 외국식
81,(주)루아,파쎄오(fahxeo),김현규,20190859,기타 외국식
82,아로이,아로이타이(AroiThai),김석채,20150917,기타 외국식
83,지에스에프엔씨,스몰하노이,김동운,20180115,기타 외국식
84,(주)와이에스에프엔비,방콕익스프레스,이윤석,20160627,기타 외국식
85,(주)더블유엔씨,월남국수,노정현,20170410,기타 외국식
86,트로이카,트로이카 (TROIKA),GOUTSOU ILIANA,20180637,기타 외국식
87,(주)마법주방에프앤비,마법주방,구원창,20190671,기타 외국식
88,델브리또,델브리또(Del Burrito),이명례,20151142,기타 외국식
89, 띤띤 , 띤띤 ,이돈희 외 2명,20190584,기타 외국식
90,(주)테이스티컴퍼니,그릴타이,김형우,20140943,기타 외국식
91,(주)테이스티컴퍼니,반포식스,김형우,20140773,기타 외국식
92,에이비씨팜(ABCFARM),우마이라무,이순주,20160462,기타 외국식
93,디티푸드,헬로베트남 쌀국수,이종성,20160553,기타 외국식
94,(주)퀴클리코리아,아경면선,강경아,20180131,기타 외국식
95,(주)아지야,아지양,김주한,20171258,기타 외국식
96,(주)꾸버가,철판떼기,김성욱,20180234,기타 외국식
97,(주)파스타리코,파스타리코,우원주,20150848,기타 외국식
