번호,상호,영업표지,대표자,등록번호,업종
1,(주)파티오,테그42(TEgg.42),김영일,20190889,기타 외식
2,국민푸드,국민닭발,김현수,20171040,기타 외식
3,(주)더꿈,밥스테이크,전상용,20170738,기타 외식
4,(주)마루퍼슨스,홍수계찜닭,"김창환, 최원규",20130100251,기타 외식
5,(주)지엠푸드,콩사돈,김경화,20170103,기타 외식
6,(주)겐돈에프앤비,겐돈소바,김대곤,20140390,기타 외식
7,올리브푸드,올리브명품찹쌀꽈배기,"최성숙, 호수은",20191267,기타 외식
8,비범한녀석들,꼬치공방,박민수,20190607,기타 외식
9,(주)나도람에프씨,하남닭뽂상회,엄태운,20181119,기타 외식
10,온마리에프앤시,온마리,박순철,20130100199,기타 외식
11,(주)푸드리아,연막술,신경호,20130039,기타 외식
12,성식이네매운닭발,성식이네 매운닭발,오유경,20200865,기타 외식
13,더라인,우리동네맛집 청해코다리,권유자,20180681,기타 외식
14,리치푸드(주),로드락 후라이드,여영주,20200862,기타 외식
15,(주)일이육삼,일이육삼,윤종현,20180697,기타 외식
16,(주)다름플러스,이차돌,이억불,20171493,기타 외식
17,(주)샐러디,샐러디,"이건호, 안상원",20150828,기타 외식
18,원에프씨(주),뿅가야채곱창,김민석,20160469,기타 외식
19,(주)다름플러스,이탄집,이억불,20200105,기타 외식
20,누베스커피,누베스커피,정진우,20181328,기타 외식
21,(주)마시따,마시따아구,김택수,20200103,기타 외식
22,(주)가로수브루잉컴퍼니,가로수맥주,조성용,20171155,기타 외식
23,(주)에이치제이컴퍼니,오식야주육회관,이현재,20161059,기타 외식
24,(주)제이오푸드,안동한우곱창,권여정,20140248,기타 외식
25,레트로키친,레트로키친,문대광,20181237,기타 외식
26,(주)채선당,채선당딜리버리,김익수,20200849,기타 외식
27,(주)델타에프엔지,웰자청,김옥화,20181096,기타 외식
28,(주)다온푸드,길동우동,박흥순,20170274,기타 외식
29,순정F&B(에프앤비),순정푸드,"김남현, 오상호",20200843,기타 외식
30,(주)엘에이치케이컴퍼니,뚱보집,권재혁,20190005,기타 외식
31,(주)행복한가족들,몽이의주방,양나녕,20200827,기타 외식
32,(유)대성물류,깨순이김밥,김태현,20130100409,기타 외식
33,(주)타코비코리아,타코비,김영환,20150065,기타 외식
34,(주)빅스텝,감성키친,김은상,20200825,기타 외식
35,(주)바오밥아이엔씨,광부맥주,최아람,20200166,기타 외식
36,(주)바오밥아이엔씨,바오밥(BAOBAB),최아람,20150366,기타 외식
37,청우,주복신화 불타는막창곰장어,"최은석,예무순",20100600010,기타 외식
38,이제이피(주),어처구니없는두릉도원북촌순두부,박의진,20110100589,기타 외식
39,(주)투애니시스템(2NESystem),포차끝판왕,안병득,20170909,기타 외식
40,(주)나도람에프씨,미사리반반돈까스,엄태운,20180949,기타 외식
41,(주)남도에프앤씨,남도술상,김민길,20171233,기타 외식
42,(주)하남에프앤씨,미사리스테이크,장보환,20180930,기타 외식
43,싱싱난리부르스5000냥,싱싱난리부르스,김길우,20200817,기타 외식
44,(주)제이앤피몽뜨레,BnB치킨&떡볶이,호영란,20200816,기타 외식
45,신복관,신복관,박재표,20151174,기타 외식
46,(주)에쓰와이프랜차이즈,청춘연가,김성윤,20151015,기타 외식
47,만호F&B,돼지의손맛,김성일,20200820,기타 외식
48,(주)에쓰와이프랜차이즈,꼬지사께,김성윤,20100100504,기타 외식
49,피자얌,트리2790(TREE2790),박영만,20190829,기타 외식
50,(주)엘에이치지,샌드리아,최순남,20171503,기타 외식
51,신비전닭발(직화명가),신(辛)비전닭발,이숙희,20200815,기타 외식
52,(주)에쓰와이프랜차이즈,나성갈비,김성윤,20200416,기타 외식
53,(주)에쓰와이프랜차이즈,진뚝닭,김성윤,20200541,기타 외식
54,앤에프씨,부타앤카츠,김천용,20191354,기타 외식
55,히노아스카(주),우마이살몬,홍승표,20161085,기타 외식
56,이든푸드그룹,셰프의돈까스,"김규영, 양보문",20170627,기타 외식
57,(주)깐깐한패밀리,패대기,정민환,20190026,기타 외식
58,(유)굴세상,굴세상,김학길,20080500029,기타 외식
59,지엘라온(주),뚜띠쿠치나,김상목,20150131,기타 외식
60,망고트리,돼지냉면,김정기,20200811,기타 외식
61,(주)록원에프엔비,리얼안심탕수육,정화영,20170828,기타 외식
62,유온달포장,유온달포장,황민호,20200804,기타 외식
63,(주)펄맨,펄스맥커피,김대현,20160358,기타 외식
64,승승그룹(주),하대승축산 문어발껍데기,"하정민, 정연준",20191057,기타 외식
65,승승그룹(주),승승,"하정민, 정연준",20190233,기타 외식
66,농업회사법인(주)우림웰푸드,우림관화로구이,위성기,20180221,기타 외식
67,(주)다나,박은자맛사랑,박증환,20171159,기타 외식
68,(주)올모스트페이머스,칼리가리 박사의 밀실,박지훈,20171437,기타 외식
69,(주)피플블라썸,북해도목장,이용탁,20170447,기타 외식
70,승승그룹(주),승승갈비,"하정민, 정연준",20190232,기타 외식
71,(주)본앤푸드코리아,본구이,김영호,20180955,기타 외식
72,(주)푸션,막창드라마,최두승,20171522,기타 외식
73,(주)곽두리,곽두리쪽갈비,곽은미,20120100409,기타 외식
74,농업회사법인(주)한씨네,한씨네대가추어탕,안은선,20130100330,기타 외식
75,쿠킹팩토리24,이백장 돈가스,"김태훈, 김윤형, 송희",20191167,기타 외식
76,(주)투썬에프엔씨(F&C),완벽한 인생,전별해,20190737,기타 외식
77,(주)엘도라도,OK무진푸드,유재범,20200783,기타 외식
78,(주)웰가코리아,하늘보리피자,김석권,20100600048,기타 외식
79,(주)차차,한잔차차,나기정,20160078,기타 외식
80,카페마이뮤지엄,카페마이뮤지엄,허서현,20200770,기타 외식
81,(주)더블유에스컴퍼니,고베규카츠,추주완,20160264,기타 외식
82,(주)더블유에스컴퍼니,블랙스테이크,추주완,20150118,기타 외식
83,청록식품,서해해물칼국수,홍승표,20190351,기타 외식
84,초을치킨송현점,초을치킨,주재익,20180208,기타 외식
