번호,상호,영업표지,대표자,등록번호,업종
1,(주)더본코리아,고속우동,백종원,20180402,분식
2,(주)더본코리아,미정국수0410,백종원,20090100499,분식
3,비범한녀석들,별에서온떡볶이,박민수,20190608,분식
4,(주)대원어묵,135튀김집,김옥규,20171507,분식
5,(주)에땅,투핑거스,공동관,20140716,분식
6,신존F&B힘찬푸드웰,신존떡볶이,전상구,20170960,분식
7,컵하우스,컵하우스,천희정,20190777,분식
8,(주)에땅,김싱싱밥고슬,공동관,20160950,분식
9,(주)와이에프엔씨,만타떡볶이,"정현성,정효성,황복동",20200855,분식
10,(주)에스지푸드,분식의신 분신,김원진,20150101,분식
11,떡장군,떡장군,서종원,20200839,분식
12,동대문떡볶이동떡하복대점,동대문떡볶이동떡,구건호,20141225,분식
13,아싸라비야매운떡볶이,아싸라비야 매운떡볶이,연인옥,20200824,분식
14,다보유통,원빙고떡볶이,이동윤,20130100219,분식
15,(주)나도람에프씨,할머니가래떡볶이,엄태운,20191444,분식
16,(주)인화에프엔비,쫄면당,이창재,20191111,분식
17,(주)이움앤지알이,gre P&T,이성원양기원,20190156,분식
18,(주)덕,김대표 김밥,이범석,20160564,분식
19,(주)우리둥지,미치닥떡볶이,박상윤,20180259,분식
20,일품백송칼국수,일백송칼국수,이재원,20170855,분식
21,히노아스카(주),돈페,홍승표,20171176,분식
22,유흥F&B,유흥떡볶이,김지훈,20200464,분식
23,밥값계산하는남자들,마피아떡볶이,김유희,20181085,분식
24,홍스푸드,홍스떡,손순필,20171534,분식
25,히노아스카(주),돈페플러스,홍승표,20190453,분식
26,(주)제이엠푸드,박봉자 떡볶이,박근태,20200806,분식
27,신만용신가네매운떡볶이,신만용신가네매운떡볶이,신만용,20130467,분식
28,(주)제이투케이에프앤비,배달의떡볶이,정현택,20190941,분식
29,(주)솔트앤슈가,김피라(kimpira),황인철,20130214,분식
30,(주)찰스푸드,찰스숯불김밥,문은희,20130100350,분식
31,(유)신포우리식품,신포우리만두,박양진,20080400035,분식
32,(주)생활에프앤비,치피떡,김경진,20170544,분식
33,(주)이플푸드,버무리떡볶이,백호군,20080100717,분식
34,(주)아리랑에프앤비,봉천동 진순자 김밥,조종찬,20200501,분식
35,또뽀끼야,또뽀끼야,양삼모,20120100347,분식
36,유자유김치떡볶이,유자유김치떡볶이,임정택,20140173,분식
37,다다믄,다다믄,이경희,20120300081,분식
38,(주)에스지푸드,마리야,김원진,20200779,분식
39,(주)정다믄,김밥천국,정광열,20080100087,분식
40,(주)알피,사우나 떡볶이,구희동,20200763,분식
41,제이피토탈,구포국수,정민호,20160074,분식
42,(주)푸디웍스랩,와닭꼬치,신용훈,20180012,분식
43,(주)네오플레이트,평이담백 뼈칼국수,한성희,20191410,분식
44,다가미전국본점살레안국수,다가미,현휘린,20191076,분식
45,(주)물과소금,수유리우동집,"이종석, 안성원",20140093,분식
46,씨지에프(주),삼첩분식,조재창,20191016,분식
47,(주)오늘애,오늘애김밥(오늘愛김밥),문영일,20151166,분식
48,(주)브랜드그라운드,떡볶킹,정명진,20200755,분식
49,두레마을우동집,두레마을우동집,김원강,20170266,분식
50,(주)미성에프앤씨,만두정,강상우,20191143,분식
51,(주)금해코리아,응급실국물떡볶이,"전유경, 김갑순",20150164,분식
52,어묵대장떡볶이푸드,어묵대장 떡볶이,이정호,20181169,분식
53,(주)금환식품,김밥일번지,구윤희,20160690,분식
54,달쫀,즉석국물떡볶이 달쫀,김정학,20180646,분식
55,(주)신화에프앤비,신떡,이민화,20080600001,분식
56,(주)신참에프앤씨,신참떡볶이,박재석,20110600030,분식
57,(주)대대손손,대손관,한종현,20190505,분식
58,(주)하나에프씨,오하루,김상철,20200746,분식
