번호,상호,영업표지,대표자,등록번호,업종
1,(주)파티오,파티오42,김영일,20161205,서양식
2,(주)더본코리아,롤링파스타,백종원,20190227,서양식
3,웨스턴하우스,파스타입니다,김동영,20200864,서양식
4,(주)긱스에프앤비,괴짜쉐프 파스타,신영오,20200844,서양식
5,피맥당,피맥당,홍유진,20200838,서양식
6,(주)아라에프엔비,요녀석,김윤경,20181091,서양식
7,(주)티앤엠디,깔보냐,서창범,20200835,서양식
8,(주)라파미코,닐리스(Nilli's),조우신,20150890,서양식
9,(주)왓츠피데,왓츠피데,배윤경,20150588,서양식
10,(주)하나에프씨,비츠비츠,김상철,20171267,서양식
11,놀라운오부리또,놀라운 오부리또,윤선화,20200797,서양식
12,리얼파스타,리얼파스타,민지현,20191141,서양식
13,(주)엔아이에프앤씨,닐리,조우신,20090100325,서양식
14,(주)씨비아이,CRAZY(크레이지),윤상필,20130100405,서양식
15,㈜헤비스테이크,헤비스테이크,조경진,20180741,서양식
16,(주)쉐프코리아,리틀파스타,김왕석,20110100079,서양식
17,해운대선셋(주),커피만달레이,문석준,20140110,서양식
18,은하별,은하별,노수경,20191218,서양식
19,(주)엘마노,엘마노한끼,이요섭,20160298,서양식
20,규니스컴퍼니,헝그리브라더스,장미향,20180429,서양식
21,(주)이랜드이츠,리미니,김완식,20171428,서양식
22,(주)푸디아,스떼이끄300g,김기봉,20200080,서양식
23,돈샐F&B,돈샐,심형섭,20200730,서양식
24,디들리밥(순천국가정원점),디들리밥,김원룡,20200027,서양식
25,(주)이딸리아나에프엔비,이딸리아나,김광훈,20190471,서양식
26,정씨함박에프앤비,정씨함박,정우성,20190729,서양식
27,(주)엘에이치지,더그릴썬,최순남,20200264,서양식
28,"OTBAcquisition,LLC",온더보더 (On The Border Mexican Grill & Cantina),Brian Shaughnessy,20200681,서양식
29,버텍스,버텍스(VERTEX),"나정인,서광",20190033,서양식
30,(주)다다코퍼레이션,스푼필라프,안민아,20180240,서양식
31,(주)고홈푸드,떡꼬기&스테이크제트,강명규,20200150,서양식
