번호,상호,영업표지,대표자,등록번호,업종
1,(주)본푸드시스템,치라시스시,김재일,20100100302,일식
2,(주)본푸드시스템,본까쓰미니스탠드,김재일,20080100699,일식
3,(주)세진푸드,코나야,강석영,20141289,일식
4,(주)본푸드시스템,본까쓰델리카페,김재일,20080100698,일식
5,(주)본푸드시스템,본까쓰,김재일,20080100697,일식
6,미가,미카츠가,최정화,20200842,일식
7,(주)에스앤디코퍼레이션,산카이 이자카야,김성철,20150339,일식
8,(주)던케이투에스,동명 카츠,이재종,20180941,일식
9,(주)요리비,아오키 카츠쿠라,이범형,20140136,일식
10,(주)사보르웨이,스시웨이,신현주,20130100040,일식
11,히노아스카(주),더프리,홍승표,20171506,일식
12,(주)독도참치,독도참치,이계을,20130473,일식
13,(주)다카라푸드,다카라함바그,황정현,20161088,일식
14,삼백돈돈가츠,삼백돈돈가츠,박차경,20200248,일식
15,나베코이,나베코이,이준혁,20181218,일식
16,(주)더블에스그룹,다케,김승수,20181272,일식
17,(주)포휴먼앤컴퍼니,카사하라앤카츠,허성국,20190507,일식
18,(주)엘마노,엘마노 청춘면식,이요섭,20160297,일식
19,(주)엘에프푸드,하코야,이승우,20080100371,일식
20,(주)에스앤피프렌차이즈,상무초밥,선영래,20200136,일식
21,(주)만뽀당,만뽀,황진,20180758,일식
22,(주)이랜드이츠,테루,김완식,20170832,일식
23,(주)만뽀당,오규당,황진,20191315,일식
24,(주)만뽀당,만뽀 스키야키,황진,20190717,일식
25,(주)해든코리아,도도텐,서민욱,20190800,일식
26,(주)다다컴퍼니,야간얼큰우동,안민영,20200124,일식
27,모두푸드시스템,열도분식,강동우,20171495,일식
28,(주)쿠시마사,쿠시마사,구설아,20190246,일식
29,(주)초심에프앤씨,도쿄라멘,변인배,20171376,일식
30,(주)예가,金太郞,박종우,20120300065,일식
31,(주)대건에프앤비,고칸,김대건,20180719,일식
32,(주)이음글로비즈,호키네 유부,박태영,20190142,일식
33,(주)아트푸드,가마카레,김두열,20200728,일식
34,인우코,고레가참치,"장종구, 서병호",20190498,일식
35,(주)광장,유리카모메,김광호,20130118,일식
36,(주)쿠우쿠우,쿠우쿠우,강명숙,20130184,일식
37,이오에프씨(주),25센치,이성욱,20190292,일식
38,(주)야끼화로,야끼화로,문성환,20150607,일식
39,아찌라멘,아찌라멘,김철,20190697,일식
40,(주)스시히로미,스시노칸도,"이지훈, 이형락",20150882,일식
41,(주)더쿡코리아,교토돈부리,박호용,20180756,일식
42,(주)파나,하나돈까스,김시영,20080300007,일식
43,(주)온센,온센,"박현숙, 김선영",20200394,일식
44,(주)소담푸드,시오도메,박소담,20130100483,일식
45,(주)최고식품카페아라,마싰는끼니,임명옥,20160171,일식
46,긴자료코상수점,긴자료코,"김인교, 원일호",20191034,일식
47,회락,회락,주인범,20191190,일식
48,스시선가맹본부,스시선 회전초밥천원 전문점,윤찬송,20181221,일식
49,(주)빌리어네어스토어즈,경양카츠,이광민,20191392,일식
50,(주)씨엘파미유,테라이케맨,이환희,20190036,일식
51,카츠오모이,카츠오모이,변준환,20200674,일식
52,푸드케미,돈카춘,"김정은, 김한준",20200675,일식
53,(주)저스트쿠킹,저스트텐동,"이다원, 이광민",20200673,일식
54,(주)꽃미남브라더스,꽃남연어집,오재준,20150874,일식
55,(주)잘만든,히메노라멘,박미란,20180652,일식
56,오늘의Recipe,바른모밀,임지웅,20200664,일식
57,굿펠라스(goodfellas),미뜨보루,JUNG STEVE W,20190347,일식
58,굿펠라스(goodfellas),마마도마,JUNG STEVE W,20190283,일식
59,굿펠라스(goodfellas),마마돈,JUNG STEVE W,20161066,일식
60,재겸푸드텍,KOKUMI,이상훈,20190047,일식
61,(주)무궁화푸드,호랑이식당,김상선,20181130,일식
62,(주)제이더블유푸드코리아,야미가,김진욱,20151259,일식
63,(주)와이엔에스홀딩스,스시메이진,김영태,20160267,일식
64,(주)페이머스,겐우동,박봉수,20200639,일식
65,(주)제이씨컴퍼니,스시덴고쿠,김충재,20190549,일식
66,(주)해운대엠에스,미스터스시,배성문,20140839,일식
67,(주)호윤크리에이티브,유미카츠,장규운,20200632,일식
68,(주)사무라이글로벌,고우,"마숙희, 토키요시 히로마사",20151017,일식
69,(주)진에프앤비,고쿠텐,유병진,20191239,일식
70,㈜키무카츠아시아,키무카츠,김태우,20170958,일식
71,(주)공영식품,기소야,김재소,20080100162,일식
72,(주)공영식품,소노야,김재소,20090100341,일식
73,(주)공영식품,멘타로,김재소,20100100158,일식
74,(주)공영식품,신기소,김재소,20080100161,일식
75,우성F&D,우성돈까스,신우성,20191001,일식
76,(주)탑에프앤비,새벽회,우희광,20190408,일식
77,(주)요리비,수제돈까스 금파,이범형,20170636,일식
78,(주)율,메이쇼우동,문승,20200268,일식
79,(주)제이에스푸드,한입만초밥,전상현,20191171,일식
80,(주)씨앤피물류,하나샤브샤브,김현수,20180052,일식
81,(주)청년에프앤씨,어부 김호권의 청년어부,이강엽,20200491,일식
82,미친사람들,미친돈까스,권우성,20191106,일식
83,운치상회,이자카야 게다(げた),홍순석,20190257,일식
84,(주)팀씨,고씨네,최성필,20190807,일식
85,(주)팬아시아다인힐,온기정,배진규,20190381,일식
86,(주)스시아오,스시아오,김대우,20190391,일식
87,(주)진진에프씨,배터지는생동까스,김현영,20080200100,일식
88,소미돈까스,소미돈까스,엄지호,20160541,일식
89,(주)나눔코프레이션,하루키야,김대용,20200348,일식
90,집에서참치,Zip에서 참치,여현정,20181266,일식
91,(주)리앤브라더스컴퍼니,노군식당,이병훈,20191355,일식
92,(주)나눔코프레이션,용돈가츠,김대용,20200384,일식
93,(주)홍대돈부리,홍대돈부리,안지은,20120100090,일식
94,라움메이드(주),나무새다이닝,김현택,20190648,일식
95,(주)겐코에프엔비,겐코,윤호영,20190806,일식
96,케어푸드,긴꼬리초밥,김봉구,20180558,일식
97,히야꾸,히야꾸,전상열,20200014,일식
98,(주)고레코리아,고레카레,박수영,20170011,일식
99,(주)푸드팩토리즈,딜리셔스팩토리,배수완,20190247,일식
100,(주)쉐푸드,스시민,이종민,20170441,일식
101,(주)도꼬야,도꼬돈카츠,독고엽,20150094,일식
102,DON돈까츠,DON돈까츠,조익훈,20171557,일식
103,돈bro,돈bro,이현,20200387,일식
104,이엘피코리아,대한독도회수산,"박종수, 이용길, 이상준",20200377,일식
105,(주)델리치랩,25카츠,윤진호,20120100653,일식
106,정희옥TheF&B,기요항(キヨー 半),정희옥,20200362,일식
107,정희옥TheF&B,정희옥스시,정희옥,20200364,일식
108,김싸부의일식당평내호평점,궁싸부의 일식당,남궁승일,20191146,일식
109,(주)하루돈,하루엔소쿠,서광식,20160451,일식
110,야한식당,야한식당,방해남,20200338,일식
111,(주)골든밥코리아,탐나종합어시장,오정훈,20190513,일식
112,엔타스시,엔타스시,안정윤,20200284,일식
113,(주)트리플에이컴퍼니,주인의주방,전운기,20130506,일식
114,(주)팩토리엔,아오리라멘,김훈태,20170622,일식
115,(주)에버리치에프앤비,돈까스파티,변동섭,20200172,일식
116,(주)에스앤피프렌차이즈,마루요시,선영래,20200137,일식
117,겐로쿠우동,겐로쿠우동,이강우,20110100199,일식
118,(주)에스앤에스코퍼레이션,토끼정,이성민,20160354,일식
119,수기획,수코미치,민대홍,20171278,일식
120,심야라멘트럭,심야라멘트럭,박동민,20191338,일식
121,(주)양우돈,이치류.양심,주성준,20180856,일식
122,스구식탁,스구식탁,정창석,20191316,일식
123,(주)리오컴퍼니,혼다라멘,조대원,20180231,일식
124,(주)즐거운세상,바르미스시뷔페,서기수,20090600051,일식
125,(주)제이에스푸드컴퍼니,돈돈정,김선균,20150699,일식
126,타키(서래마을점),타키,박소영,20180351,일식
127,텐동요츠야,텐동요츠야,이재훈,20190068,일식
128,만푸쿠,만푸쿠,이정우,20190290,일식
129,한냐마켓또,한냐마켓또,김현태,20170361,일식
130,(주)젠푸드,히노아지,"김길제, 박영석",20090300032,일식
131,바다사랑본점,주군스시,주인범,20171021,일식
132,(주)빅스크리에이티브,동경에서먹었던규동,방형우,20181157,일식
133,스시카츠대현점,스시카츠,강명구,20190177,일식
134,닌자푸드,두껍다회선생,박민우,20180683,일식
135,나베야돈까스,나베야,김정승,20100300053,일식
136,(주)빌드라잇,헬로피쉬,이준혁,20130100364,일식
137,스시투어,스시투어,조성화,20180701,일식
138,(주)제이알에프앤씨,도쿄이찌바,정재욱,20180586,일식
139,(주)제이알에프앤씨,스시한판,정재욱,20140787,일식
140,(주)제이알에프앤씨,스시오블랙컨테이너,정재욱,20130195,일식
141,춘,이자카야춘,박춘식,20171359,일식
142,우마이마루,우마이마루,이송훈,20140281,일식
143,(주)마이우에프앤비,스시마이우키친,이승진,20180863,일식
144,(주)가츠몽,가츠몽,박일남,20171087,일식
145,(주)지구당,지구당,김상현,20150181,일식
146,(유)푸드리퍼블릭글로벌,후쿠오카함바그 익스프레스,전유빈,20150895,일식
147,(주)캘리스코,사보텐,구지은,20080100292,일식
148,제이에스(JS)컴퍼니,てんどんえびす(텐동에비스),김선균,20181322,일식
149,(주)토리돌코리아,마루가메제면,아와타타카야,20191033,일식
150,(주)중앙에스앤씨,라멘천하,김동신,20160655,일식
151,(주)아이딜홈,쿠벤(KU·BEN),박무연,20160156,일식
