번호,상호,영업표지,대표자,등록번호,업종
1,(주)쏠뱅,쏠뱅(SOLVANG),조성훈,20161132,제과제빵
2,대전광역시동네빵집협동조합,한스브레드카페,정용남,20171016,제과제빵
3,(주)나나드림,나나케이크,정우현,20151247,제과제빵
4,(주)에스지푸드,고로케하우스,김원진,20160927,제과제빵
5,(주)맘스푸드,맘스케익,전상민,20170014,제과제빵
6,농업회사법인㈜사람과연근플러스자연,사람과 연근,김춘련,20200831,제과제빵
7,노랑고래푸드,노랑고래찹쌀꽈배기,심수연,20190313,제과제빵
8,세영이지(주),더베이크,윤성민,20120100621,제과제빵
9,(주)초베이,쌀똑핫도그,김현수,20170468,제과제빵
10,(주)곤트란쉐리에코리아,곤트란쉐리에,강병철,20140966,제과제빵
11,대우산업개발(주),브리오슈도레(BRIOCHE DOREE),한재준,20170119,제과제빵
12,(주)샤마,코코호도,권기택,20120100604,제과제빵
13,(주)에이블비즈,홍미당,서형우,20180390,제과제빵
14,(주)바로만든,타르타르,강호동,20160639,제과제빵
15,(주)티엠드,심봉사도로케,소병삼,20160521,제과제빵
16,(주)아리랑에프앤비,아리랑수제핫도그,조종찬,20160907,제과제빵
17,케익CTC,카페더치즈케익,김소의,20200780,제과제빵
18,(주)도레도레,마호가니,김경하,20200764,제과제빵
19,(주)오직그대만,"오직, 그대만",권지나,20180137,제과제빵
20,(주)로띠번코리아,로띠번,박정은,20120300030,제과제빵
21,(주)이랜드이츠,프랑제리,김완식,20181364,제과제빵
22,(주)쉐프진,꽈쉑,정상인,20170539,제과제빵
23,(자)동명식품서울지점,커피홀베이커리,"박철진,박재동",20171384,제과제빵
24,케이스푸드,권실장 참마 찹쌀 꽈배기,권용우,20200720,제과제빵
25,(주)그린문컴퍼니,식빵이맛있는집 네모,박동권,20171131,제과제빵
26,(주)팔래스코리아,팔래스도우넛,이완규,20080200223,제과제빵
27,(주)중안,박사단팥빵,김연천,20200705,제과제빵
28,(주)와이에스컴퍼니,북문당,이영석,20200098,제과제빵
29,(주)무진,갓식빵,박원선,20161047,제과제빵
30,(주)엘에이치지,이화당,최순남,20200272,제과제빵
31,(주)솔라벨,스트릿츄러스,소상우,20140288,제과제빵
32,(주)또아식빵,또아식빵,"서봉채, 유양우",20170197,제과제빵
33,(주)훌랄라,마크빈,김병갑,20190355,제과제빵
34,(주)파파들,파파도나스,"이윤성, 이원일, 정인성, 이국진",20180953,제과제빵
35,(주)케이크를부탁해,케이크를부탁해,"배용국, 윤상준",20160508,제과제빵
36,(주)비피알,바푸리수제식빵,현미숙,20180084,제과제빵
37,(주)피쉐프코리아,쟈빠따,박기태,20160998,제과제빵
