번호,상호,영업표지,대표자,등록번호,업종
1,(주)프로파트너,대국민야시장,송완기,20170267,주점
2,(주)더본코리아,백스비어,백종원,20150426,주점
3,(주)디딤,미술관,이범택,20140974,주점
4,혼술식당,혼술식당,김우열,20181317,주점
5,(주)모건파트너스,맥주활력수,최윤성,20190014,주점
6,(주)디딤,레드문,이범택,20180956,주점
7,(주)와이에프엔씨,브롱스(BRONX),"정현성,정효성,황복동",20150942,주점
8,(주)에스앤디코퍼레이션,린생사진관,김성철,20200850,주점
9,(주)알피,리얼펍,구희동,20140726,주점
10,새우락,새우락,박창은,20191415,주점
11,(주)다모아에프앤비,비투비(BEER 2 BEER),봉희백,20200841,주점
12,(주)케이케이에프앤비(KKF&B),포차스미스,"김영재,조사미",20180866,주점
13,(주)플랜에이컴퍼니,젠틀래빗,안익선,20200822,주점
14,(주)케이디코리아,코젤다크하우스(KOZELDARKHAUS),장현분,20150509,주점
15,(주)에쓰와이프랜차이즈,엘리팝,김성윤,20080100092,주점
16,짝태시대,짝태시대,양영진,20170397,주점
17,(주)엠제이인터내셔널,오말짜비어,이헌종,20140408,주점
18,(주)빅브라더,전씨술방,박대형,20160662,주점
19,홍스푸드,홍스포차,손순필,20180258,주점
20,(주)빅브라더,최군맥주,박대형,20130115,주점
21,토리고야패밀리(주),토리고야,박진수,20160428,주점
22,(주)트레비브로이,트레비어,손은경,20180735,주점
23,엔에프시디사일오,변사또,박하란,20120400042,주점
24,토리고야패밀리(주),동래별장,박진수,20180058,주점
25,트루프렌드,크래프트랩 마이비어(craft lab my beer),하경진,20200350,주점
26,(유)팔팔에프앤비,팔팔호프,백선호,20200799,주점
27,미코에프씨(주),무한사케무사,이경수,20130100213,주점
28,미코에프씨(주),포차35구역,이경수,20160257,주점
29,(주)더신선,노가리까는언니,김수정,20150972,주점
30,(주)더블에스그룹,겜블하우스(GAMBLE HOUSE),김승수,20191436,주점
31,(주)엔츠,엔츠노래타운,정원규,20190173,주점
32,(주)차차,와인주막차차,나기정,20170445,주점
33,(주)팀어반,지구상사,박지현,20200767,주점
34,(주)아지트메이커,짱구야학교가자,서은미,20200435,주점
35,(주)위벨롭먼트,1943,정승민,20190328,주점
36,(주)위벨롭먼트,인쌩맥주(the Lifebeer),정승민,20200239,주점
37,(주)88노가리,88노가리,남두산,20200760,주점
38,(주)모두가족,와사비,정하연,20190462,주점
39,(주)모두가족,김양비어,정하연,20150706,주점
40,(주)승기,인생건어물,박양낭,20190853,주점
41,(주)올웨이즈에프앤비,국제내쇼날,김태훈,20200164,주점
42,용진집프랜차이즈,용진집,김은숙,20200745,주점
43,(주)동행,포차플레잉,한창환,20180451,주점
44,(주)바론에프엔씨,제일회관,김병섭,20200742,주점
45,(주)남천에프앤비,망고비어,송성태,20150863,주점
46,(주)포앤디코리아,하루비어,한성수,20170950,주점
47,(주)별네트웍스,별주막,서형원,20181280,주점
48,(주)만만연구소,전포로 미팅룸,"김지훈, 송호영",20190141,주점
49,(주)만만연구소,청불,"김지훈, 송호영",20191386,주점
