번호,상호,영업표지,대표자,등록번호,업종
1,(주)마시내,마시내 나홀로짜장,김철수,20200429,중식
2,팔미엔,팔미엔,남구만,20181307,중식
3,(주)더본코리아,리춘시장,백종원,20180318,중식
4,(주)이만구,이만구교동짬뽕,라영갑,20150500,중식
5,(주)디딤,공화춘,이범택,20200861,중식
6,(주)뽕사부컴퍼니,뽕사부,김영삼,20200473,중식
7,(주)늘찬달인307촨차이,달인촨차이,변종갑,20190060,중식
8,(주)한국에프에스,홍콩만찬,이종철,20180484,중식
9,(주)한국에프에스,몸애존짜장,이종철,20130100194,중식
10,(주)손오공마라탕,손오공마라탕,"임형균, 유대희",20200054,중식
11,(주)케이에스에프앤비(KSFNB),짬뽕의 신화,탁경희,20190138,중식
12,(주)따청푸드,라공방,JIN CHENGZHE(진청저),20190458,중식
13,회풍식품(주),라화쿵부,천향란,20170726,중식
14,마라당,마라당,박진한,20191159,중식
15,위고푸드,탕수육주는육군짬뽕,배동석,20200743,중식
16,천리향마라오리,천리향마라오리,JIN HAIJING,20191398,중식
17,파워푸드(유),징차이짜장,명장식,20181299,중식
18,(주)홍탕,홍탕,양승훈,20120100380,중식
19,(주)엠앤에스,마라홀릭,이민규,20190875,중식
20,에이스외식산업(주),큐큐면관,왕학의,20181042,중식
21,(주)훌랄라,짜짜왕,김병갑,20200306,중식
22,(주)브라보이노베이션,동방불패,"이광호, 이대현",20170730,중식
23,(주)이비가푸드,이비가짬뽕,김영철,20110500053,중식
24,(주)늘솜,발재반점,심지용,20190808,중식
25,(주)등초식품,등초마라탕,인밍하오,20190788,중식
26,(주)루에프앤비,중화가정,"김선철, 이정민",20170999,중식
27,서가김푸드,착한쭝식,"서인환, 감애란",20170711,중식
28,(주)기봉이,더시카고짬뽕(THE CHICAGO JJAMPPONG),한혜숙,20141026,중식
29,(주)유방녕,명장반점,최창조,20200156,중식
30,(주)놀부,탕수육본능,안세진,20200591,중식
31,(주)유방녕,만추,최창조,20200155,중식
32,(주)대명코리아,짬뽕타운,서정훈,20200581,중식
33,상상FnB,상상짬뽕,박상길,20190011,중식
34,도건푸드시스템,저스트마라관,이도건,20200004,중식
35,더월드(theworld),불이아,윤성준,20200576,중식
36,에이치와이코리아(주),마라공방,윤명숙,20200220,중식
37,미스터비짬뽕,미스터비(Mr.B) 나가사키짬뽕,배강호,20160752,중식
38,(주)마시내,마시내탕수육,김철수,20100500033,중식
39,마라루,마라루,권화숙,20200225,중식
