번호,상호,영업표지,대표자,등록번호,업종
1,치킨도령(영주유통),치킨도령,박경희,20110600002,치킨
2,우리푸드시스템,내맘에두닭,성지훈,20200866,치킨
3,(주)제이앤엠푸드,호호닭발,박지혜,20140380,치킨
4,(주)티에스컴퍼니,치킨런,태정순,20120600004,치킨
5,(주)더쉐프,칠칠켄터키,김태경,20120300101,치킨
6,(주)에땅,오븐에빠진닭,공동관,20080100034,치킨
7,(주)도담에프앤에스,두레옛날통닭,김재준,20190677,치킨
8,㈜달봉엔터프라이즈,달봉이치킨,양종훈,20160333,치킨
9,(주)어니스트브로,닭에꼬치닭,최홍재,20181030,치킨
10,(주)그남자네식품,가마꿉,정범석,20191203,치킨
11,(주)알피,대박나자 부자치킨,구희동,20160702,치킨
12,(주)신화림스,신화불닭발,이경신,20191266,치킨
13,(주)그루터기,청춘명랑치킨,이수연,20181293,치킨
14,39치킨본부,삼십구치킨,"신춘화, 김영희",20140543,치킨
15,(주)디디에프엔비,디디치킨(DD치킨),오응서,20080200132,치킨
16,(주)태풍에프앤비,부뚜막치킨,김태환,20130100296,치킨
17,민푸드,온고지신 통닭元,안현찬,20180167,치킨
18,닭촌축산,치킨멤버,손태호,20160070,치킨
19,(주)지와이푸드,해두리치킨,기건종,20120100145,치킨
20,필푸드,필바든치킨,고동임,20130100388,치킨
21,닭권브이,닭권브이,김승후,20100100093,치킨
22,동근이숯불두마리치킨,동근이숯불두마리치킨,이동근,20161199,치킨
23,(주)유성에프앤비,허갈닭강정,박효순,20180793,치킨
24,(주)내일,바비후,김용규,20161222,치킨
25,(주)나도람에프씨,투존치킨,엄태운,20140651,치킨
26,(주)돕는사람들,치킨플러스,유민호,20170127,치킨
27,(주)지앤푸드,굽네치킨,정태용,20080200030,치킨
28,(주)한국에프에스,인절미통닭,이종철,20180947,치킨
29,맹스숯불치킨&포차,맹스치킨,김맹진,20181088,치킨
30,콕에프씨,통닭왕,김상호,20200834,치킨
31,(주)신진푸드,신진통닭,김인태,20190738,치킨
32,계산씨케이,굽는치킨,김정자,20080200128,치킨
33,(주)노랑푸드,노랑통닭,김장윤,20130176,치킨
34,금동이푸드,금동이두마리치킨,신원옥,20190243,치킨
35,트루프렌드,무궁치킨(MUGUNG CHICKEN),하경진,20200349,치킨
36,(주)명가참푸드,명가통닭,박용암,20200798,치킨
37,큐스,큐스,황성운,20161012,치킨
38,(주)제이투케이에프앤비,치뽁(CHIPPOK),정현택,20190028,치킨
39,굿웰푸드(세븐치킨),세븐치킨,강영순,20191275,치킨
40,(주)엘에이치지,맛데이,최순남,20090100258,치킨
41,(주)무촌식품,무봤나 촌닭,권남제,20080300015,치킨
42,(주)엘에이치지,고려통닭,최순남,20190704,치킨
43,대흥유통,토닭토닭양념치킨,김진구,20190573,치킨
44,(주)씨에스,조선CH.S치킨,송승권,20080400017,치킨
45,(주)엘제이푸드,와치킨,이효림,20200800,치킨
46,(주)생활에프앤비,로타리치킨상회,김경진,20190532,치킨
47,(주)생활에프앤비,혁명닭발,김경진,20180134,치킨
48,외식하는사람들(주),우아한치킨,오성진,20200789,치킨
49,(주)일이축산푸드,꾼닭(koondak),유상이,20110300048,치킨
50,(주)다가치,다가치통닭,여명수,20200774,치킨
51,(주)안심푸드,안심치킨,김승덕,20160714,치킨
52,(주)혜인식품,네네치킨,현광식,20080100061,치킨
53,금화식품(주),치썸chicken(치썸치킨),이승훈,20180136,치킨
54,(주)아지트메이커,도담치킨,서은미,20160454,치킨
55,문진옥숯불바베큐치킨,문진옥숯불바베큐치킨,최미숙,20200026,치킨
56,㈜더난푸드,아이러브피자&치킨,송여호,20190082,치킨
57,양아치킨불당점,양아치킨,박재성,20190004,치킨
58,올림엔터프라이즈(OLIMENTERPRISE),오늘도후라이드,안지수,20200751,치킨
59,치킨과바람피자,치킨과 바람피자,배성훈,20171201,치킨
60,(주)세경에프앤비,꼬꼬아찌,조재현,20190976,치킨
61,(주)브랜드그라운드,구어바 숮불BBQ 치킨,정명진,20200229,치킨
62,㈜이노텍씨엔에스홀딩스,치킨리그,송민석,20190735,치킨
63,엠앤에이치에프씨,둘마니치킨,최만수,20150591,치킨
64,아이커유통,아이커버거&치킨,조옥실,20170466,치킨
65,(주)브랜드그라운드,일일치킨(11CHICKEN),정명진,20191179,치킨
66,에스엠푸드(주),파-닭에파무쳐,이현,20090600075,치킨
67,(주)멕시카나,멕시카나,이상구,20080100262,치킨
68,(주)돈키오태,신동키닭,정용택,20190943,치킨
69,(주)씨에프,씨에프숯불바베큐치킨,신장호,20080200112,치킨
70,(주)길성이,길성이치킨,윤기한,20130100216,치킨
71,반반이F&B(에프앤비),반반이두통찜닭,이윤관,20191344,치킨
72,케이디디유통,그집마늘치킨 & 쪼닭,하태진,20191031,치킨
