번호,상호,영업표지,대표자,등록번호,업종
1,(주)비비인터내셔널,9cafe,이윤하,20160830,커피
2,(주)빌리컴퍼니,빌리브라운(BILLYBROWN),이태건,20150757,커피
3,(주)티앤피아이코리아,세가프레도,권준,20161248,커피
4,(주)커피나무,커피나무,백지연,20130100418,커피
5,에이원인터컴(주),호이안로스터리,김춘호,20190765,커피
6,(주)원팀,읍천리 382,전재욱,20200376,커피
7,"CBTLFranchising,LLC.",The Coffee Bean & Tea Leaf,Dan Simon,20151119,커피
8,(주)더쉐프,텐퍼센트스페셜티커피,김태경,20180244,커피
9,"CBTLVentures,LLC.",CBTL,Dan Simon,20110100261,커피
10,(주)라붐팩토리,라붐커피(LABOOM COFFEE),최형식,20200840,커피
11,(주)카페홀릭,카페홀릭(CAFE HOLIC),이재철,20180161,커피
12,협동조합인재개발뱅크,인재 36.5도 까페,남기형,20171560,커피
13,(주)티앤엠디,뉴욕쟁이디저트,서창범,20200836,커피
14,공오삼st,보틀&프레즐,윤제영,20200826,커피
15,(주)카페홀릭,웨일즈커피(WHALES COFFEE),이재철,20180160,커피
16,(주)나우나우,핸즈업,이기종,20180932,커피
17,(주)위너에프앤비,코페아커피,이도영,20171521,커피
18,오토카페(AUTOCAFE),오토카페 (AUTO CAFE),황종하,20200818,커피
19,(주)엘에이치지,라떼떼,최순남,20110100493,커피
20,코인커피,코인커피,정학수,20200821,커피
21,(주)진영글로벌,쿠키프렌즈카페 (Cookie Friends Cafe),반귀옥,20181102,커피
22,(주)우드앤우즈,카카듀,이동혁,20180064,커피
23,(주)아델라7,아델라7,서홍원,20200801,커피
24,(주)코아에프엔비,더착한커피,문한민,20200810,커피
25,(주)빵카페,빵카페,김영섭,20191011,커피
26,(주)단디코리아,Blu Shaak(블루샥),계태웅,20200802,커피
27,(주)바리스타비,바리스타비,진우형,20090600037,커피
28,(주)아프리카커피가게앤학원,아프리카커피초콜릿,양기요,20171564,커피
29,(주)베모스,카페띠아모,김성동,20090100413,커피
30,(주)맥스원이링크,셀렉토커피,황규연,20120100504,커피
31,(주)비,비커피(BEE COFFEE),강병만,20190923,커피
32,(주)에스앤큐플러스,토프레소,오종환,20080100482,커피
33,(주)아임홈팩토리,아임홈,최장길,20180439,커피
34,(주)애채,라스베이글,권오균,20151187,커피
35,㈜메이크어베러(Makeabetter),에이바우트커피,부성훈,20170520,커피
36,(주)옴니아,루이스해밀턴커피,김소영,20191369,커피
37,(주)겟앤쇼,겟앤쇼카페(Get&Show cafe),강호남,20150363,커피
38,(주)달콤,달콤,"지성원,정창화",20120100121,커피
39,(주)라온제나,LJ COFFEE,반민옥,20190150,커피
40,(주)달리는커피코리아,달리는커피,윤은총,20180171,커피
41,(주)이랜드이츠,더카페,김완식,20080100257,커피
42,(주)커피베이,커피베이,백진성,20110100237,커피
43,(주)이랜드이츠,루고,김완식,20120100173,커피
44,(주)도남에프앤에프,커피펍스,이정희,20151158,커피
45,(주)전광수커피,전광수커피,전광수,20160314,커피
46,(주)딜라잇코리아,DELIGHT6(딜라잇식스),최진화,20160872,커피
47,(주)영투게더컴퍼니,영커피,장영생,20191303,커피
48,(주)웨이닝코리아,더웨이닝커피(THE WAIN-ING COFFEE),윤기남,20120300012,커피
49,(주)명진푸드,CAFE CANBUS (카페캔버스),"전우숙, 전병희",20200732,커피
50,(주)카페판다,카페판다,서홍렬,20200021,커피
51,(주)나인어클락,나인어클락커피,연명수,20140954,커피
52,(자)동명식품서울지점,커피홀(coffee hole),"박철진,박재동",20110100167,커피
53,(주)씨티씨피,커피더캠프,길현섭,20161265,커피
54,헤일리스커피,헤일리스커피,조재근,20200733,커피
55,(주)프롬하츠,프롬하츠(FROM HEARTS),남재현,20171163,커피
