번호,상호,영업표지,대표자,등록번호,업종
1,(주)다경컴퍼니,금커피박빙수,금다경,20200837,음료 (커피 외)
2,(주)티희차,티희차(Teaheecha),이영애,20180125,음료 (커피 외)
3,(주)씨앤딜,모리셔스브라운(Mauritius Brown),권용재,20190197,음료 (커피 외)
4,(주)프로젝트비,차얌,윤석제,20181209,음료 (커피 외)
5,(주)솔트앤슈가,행인당,황인철,20191012,음료 (커피 외)
6,(주)쿵푸티코리아,KUNGFU TEA(쿵푸티),고은아,20191272,음료 (커피 외)
7,(주)참인포텍,19티(TEA),홍기량,20170246,음료 (커피 외)
8,(주)비피알,흑본당,현미숙,20190751,음료 (커피 외)
9,프레씨엘,프레씨엘,김미숙,20200667,음료 (커피 외)
10,인피니티어뉴이티,타이지엔,이정우,20200661,음료 (커피 외)
11,(주)우남에프앤씨,흑화당,남은희,20190267,음료 (커피 외)
12,(주)킹콩쥬스엔커피,킹콩쥬스엔커피,허정인,20160534,음료 (커피 외)
13,자바스,JAVAS(자바스),장석현,20200647,음료 (커피 외)
14,스무디킹코리아(주),스무디킹(SMOOTHIEKING),김운아,20080100066,음료 (커피 외)
15,컴퍼니맨(주),요거트맨,전영석,20160742,음료 (커피 외)
16,(주)스토어하우스,아마스빈코리아,장유,20140203,음료 (커피 외)
17,행복당,행복당(XING FU TNAG),마건희,20191181,음료 (커피 외)
18,(주)타이거슈가코리아,타이거슈가(TIGER SUGAR),이경석,20190308,음료 (커피 외)
19,락립배코리아(주),락립배,박연우,20190539,음료 (커피 외)
20,토핑스,토핑스,신상욱,20200555,음료 (커피 외)
21,(주)피치스,블랙티드,최경해,20200315,음료 (커피 외)
22,(주)호이컴퍼니,호이차,민병욱,20190484,음료 (커피 외)
23,(주)이엠컴퍼니,닥터세이지(Dr.SAGY),은명,20200524,음료 (커피 외)
24,(주)에이치비흥보,타이완슈가,김인희,20190564,음료 (커피 외)
25,홍콩다방,홍콩다방,김원화,20200200,음료 (커피 외)
26,솔차니코리아,솔차니,나회선,20190655,음료 (커피 외)
27,지알엔푸드,카페그리닝,김효진,20191441,음료 (커피 외)
28,(주)에딕티코리아,에딕티(Addictea),박예림,20200392,음료 (커피 외)
29,(주)씨제이앤와이글로벌코리아,하트너카페,안창주,20200380,음료 (커피 외)
30,(주)오가다,오가다,최승윤,20100100175,음료 (커피 외)
31,(주)마이켐,땡스얼랏,홍한화,20200344,음료 (커피 외)
32,(주)차타임,차타임라운지,박도근,20170389,음료 (커피 외)
33,(주)팔공티,팔공티,김종현,20171075,음료 (커피 외)
34,(주)클로리스,클로리스(CHLORIS),김석준,20200120,음료 (커피 외)
35,(주)티컬렉티브,티컬렉티브(TEA Collective),김동현,20190104,음료 (커피 외)
36,(주)공차코리아,공차,김의열,20130100052,음료 (커피 외)
37,(주)파리크라상,잠바주스,황재복,20140964,음료 (커피 외)
38,(주)리치망고,리치망고,송윤상,20150567,음료 (커피 외)
39,(주)반머이,마치마치,김명상,20190971,음료 (커피 외)
40,(주)허유산코리아,허유산(HUI LIU SHAN),"김수현, 김태화",20180163,음료 (커피 외)
41,쥬씨(주),쥬씨(JUICY),윤석제,20151155,음료 (커피 외)
42,(주)제주스,제주스,김정동,20170185,음료 (커피 외)
43,선우프로듀스(주),쥬스스타,이순길,20160202,음료 (커피 외)
44,(주)쥬스팩토리,쥬스팩토리,박성일,20160263,음료 (커피 외)
45,봉달쥬스,봉달쥬스,박성원,20191039,음료 (커피 외)
46,(주)올어바웃,올어바웃커피,박철민,20140826,음료 (커피 외)
47,(주)올어바웃,주스탐,박철민,20150623,음료 (커피 외)
48,(주)올어바웃,올어바웃차,박철민,20110100521,음료 (커피 외)
49,(주)올어바웃,주스탐델리,박철민,20161065,음료 (커피 외)
50,(주)올어바웃,올어바웃카페,박철민,20140825,음료 (커피 외)
51,(주)제이스타임,곰브라더스,조허정,20160127,음료 (커피 외)
52,(주)티번,티번(T Bun),남은정,20170819,음료 (커피 외)
53,(주)퓨로에프앤비,더퓨러,한진수,20160795,음료 (커피 외)
54,(주)매스컴퍼니,매스커피,이은재,20150062,음료 (커피 외)
55,(주)대익인터내셔날코리아,타이티카페(TAETEA CAFE),오원지,20170350,음료 (커피 외)
56,(주)엠투에프앤비,쥬스킹(JUICE KING),김홍준,20170122,음료 (커피 외)
57,(주)음식생각,후즈티(WHO'S TEA),김달회,20190721,음료 (커피 외)
58,에프엔비팩토리(주),티팩토리912,이수원,20141251,음료 (커피 외)
59,(주)페이브푸드,fave,송현근,20190688,음료 (커피 외)
60,(주)코리아케이푸드,블랙슈가,허재웅,20190658,음료 (커피 외)
61,(주)에이치에스피라이프,황칠가 카페,김진미,20160248,음료 (커피 외)
62,(주)편안,바로주스(BARO JUICE),이태경,20190057,음료 (커피 외)
63,(주)퀴클리코리아,퀴클리(Quickly),강경아,20160096,음료 (커피 외)
64,(주)마이에프앤비,마이쥬스,정진아,20190444,음료 (커피 외)
65,순수유통(주),쥬청과(쥬스에게 청혼한 과일가게),위재성,20181001,음료 (커피 외)
66,(주)아티스티,아티스티(artistea),김정동,20190407,음료 (커피 외)
67,(주)휴롬팜,휴롬주스,김영기,20141039,음료 (커피 외)
68,(주)쩐주단코리아,JENJUDAN,박병훈,20190367,음료 (커피 외)
