번호,상호,영업표지,대표자,등록번호,업종
1,㈜비프로젝트,와이쿠페,이영란,20200129,패스트푸드
2,(주)제이제이푸드시스템,바른생활샌드위치,장상욱,20100500019,패스트푸드
3,(주)웰푸드,뉴욕핫도그&버그,채석재,20200869,패스트푸드
4,궤도에오르다,궤도에오르다,"김민욱, 박원출",20191193,패스트푸드
5,(주)뉴욕핫도그앤커피,뉴욕핫도그앤커피,최용준,20080100067,패스트푸드
6,(주)두손커머스,미스터톡톡(Mr TokTok),김연만,20151036,패스트푸드
7,(주)정담에프에스,지정환피자,박철민,20080400028,패스트푸드
8,(주)푸드앤트리트,데어리퀸(Dairy Queen),임육빈,20180185,패스트푸드
9,(주)메이젠,메이젠,조광구,20180997,패스트푸드
10,(주)바람에프앤비,바람의핫도그,윤원만,20180276,패스트푸드
11,(주)역시,유에프오(UFO),이산호,20200167,패스트푸드
12,(주)프로젝트비,팔팔핫도그,윤석제,20161278,패스트푸드
13,햇버거,햇버거,서대규,20200785,패스트푸드
14,(주)비케이알,버거킹(Burger King),문영주,20130100358,패스트푸드
15,(주)쉐프코리아,루이스버거,김왕석,20191004,패스트푸드
16,(주)모스버거코리아,모스버거(MOSBURGER),김병섭,20190682,패스트푸드
17,(주)도남에프앤에프,쉐이크포테이토,이정희,20120100075,패스트푸드
18,(주)퀸즈블랙강남본점,퀸즈블랙,강창민,20180819,패스트푸드
19,"델리랩,여우넷",델리랩 (Delilab),김인자,20170488,패스트푸드
20,(주)씨엠월드에프앤씨,피제리아 나인로드,최영구,20140383,패스트푸드
21,(주)다이닝팩토리,에그셀런트,"이광호, 이대현",20190835,패스트푸드
22,(주)도니버거,도니버거,김예분,20130317,패스트푸드
23,(주)신세계푸드,노브랜드 버거(No Brand Burger),김운아,20190929,패스트푸드
24,(주)티에스푸드앤시스템,파파이스,이원철,20080100140,패스트푸드
25,(주)훌랄라,마미쿡,김병갑,20150650,패스트푸드
26,(주)참인포텍,에그앤벡,홍기량,20170245,패스트푸드
27,(주)비피알,프랭크버거,현미숙,20191192,패스트푸드
28,(주)핵가족,핵도그,양동모,20170219,패스트푸드
29,(주)알볼로에프앤씨,목동버거,이재욱,20181336,패스트푸드
30,M2GUSAINVESTMENT.INC.,데어리퀸(Dairy Queen),JOON HWAN PARK,20190107,패스트푸드
31,(주)글로비,비스트로피자,정석환,20180711,패스트푸드
32,(주)에스앤비푸드,SSOJA(쏘자),조은상,20181139,패스트푸드
33,알리바바파트너스(주),알리바바버거,박미연,20180860,패스트푸드
34,(주)티엠홀딩스,조슈아버거팩토리(joshua burger factory),김명환,20200487,패스트푸드
35,(주)비갠하늘,홀로스타일(hollostyle),장석호,20171284,패스트푸드
36,(주)푸드넷시스템,토스피아,"김석운, 최경업",20080100030,패스트푸드
37,너랑나랑핫도그,너랑나랑핫도그,이석희,20200446,패스트푸드
38,꿉자(KOOPJA),꿉자(KOOPJA),김상호 외1,20120100688,패스트푸드
39,해마로푸드서비스(주),맘스터치,박성묵,20080100157,패스트푸드
40,KFCAsiaHoldingsLLC,KFC,Jeffrey Stearman,20141219,패스트푸드
41,(주)골든하인드,세인트그릴(SAINT GRILL),노영우,20200334,패스트푸드
42,666버거치킨과바람피자,666 BURGER,양해광,20200326,패스트푸드
43,이에스코리아(ESKoreaLLC),에그슬럿(EGGSLUT),제프레이 배일스(Jeffery Vales),20200195,패스트푸드
44,(주)에스피씨삼립,잇투고,이명구,20140503,패스트푸드
45,농부의마음,닛닛버거,곽현주,20191367,패스트푸드
46,(주)신세계푸드,자니로켓,김운아,20160840,패스트푸드
47,(주)인기가요,인기가요,이석한,20200091,패스트푸드
48,(주)88에프엔비,88시장버거,김유진,20191418,패스트푸드
49,좋은사람들,존스버거,장지영,20191356,패스트푸드
50,(주)코리아케이푸드,에그오리진,허재웅,20191288,패스트푸드
51,(주)마마스푸드,스탠딩토스트,주혜윤,20170371,패스트푸드
52,SubwayInternationalB.V.,서브웨이(Subway),콜린매튜클락,20080100727,패스트푸드
53,(주)제이제이에프앤비,멜팅그릴,"윤석제,장준",20171340,패스트푸드
54,벅스리아푸드시스템,벅스리아,김은비,20150466,패스트푸드
55,(주)씨티씨푸드,루안바오,문주원,20181337,패스트푸드
56,(주)유썸,퀴즈노스서브,김영덕,20080100287,패스트푸드
57,더브라더스,핫도그브라더스,서호진,20171546,패스트푸드
58,버거307,버거307,이정환,20151258,패스트푸드
59,(주)도연에프엔씨,미스앤미스터포테이토,홍창표,20100100206,패스트푸드
60,(주)케이에프씨코리아,케이에프씨(KFC),엄익수,20191046,패스트푸드
61,(주)푸디노에프앤디,웰덤치킨,김홍엽,20180406,패스트푸드
62,(주)석봉토스트,석봉토스트,김석봉,20080100666,패스트푸드
63,(주)밀플랜비식품,밀플랜비,박동현,20151233,패스트푸드
64,(주)제이스타임,비엔나핫도그,조허정,20161092,패스트푸드
65,(주)쏭앤킴푸드,쏭쓰클럽핫도그,김준호,20141047,패스트푸드
66,홍대브로스버거,브로스버거(BRO'S BURGER),신희곤,20190998,패스트푸드
67,티에고(주),코끼리가반한핫도그,박태고,20170611,패스트푸드
68,(주)수혁,뉴욕버거,송명섭,20130100180,패스트푸드
69,(주)스테프코리아,스테프핫도그,권동호,20080100473,패스트푸드
