번호,상호,영업표지,대표자,등록번호,업종
1,(주)에땅,피자에땅,공동관,20080100033,피자
2,한결푸드,피자어셈블,오성원,20191089,피자
3,(주)유로코푸드,유로코피자(EUROKO PIZZA),정명진,20170998,피자
4,㈜제이유코리아,BIGZZA(빅짜),정재욱,20200832,피자
5,피자써클,피자써클,김문수,20110400027,피자
6,피스타키친(PISTARKITCHEN),피스타키친(PISTAR KITCHEN),강광석,20180446,피자
7,(주)더온에프앤비,자가제빵 선명희피자,천정효,20180833,피자
8,(주)위스피크푸드,일인용피자,황동익,20200186,피자
9,900달러,900달러,"정용민, 최승재",20200772,피자
10,자연임실치즈피자,자연임실치즈피자,안미정,20150790,피자
11,(주)케이프렌즈,강정구의피자생각,강정구,20100100030,피자
12,㈜더난푸드,피자 아이씨,송여호,20190691,피자
13,피자마켓컴패니(PIZZAMARKETCOMPANY),피자 마켓 컴퍼니(pizza market company),박종욱,20191028,피자
14,(주)더난푸드,아이러브피자,송여호,20090100355,피자
15,(주)이랜드이츠,피자몰,김완식,20080100258,피자
16,(주)영구스피자,영구스피자,김정영,20090100545,피자
17,피자대장,피자대장,정이준,20200747,피자
18,(주)스칼라,수피자,이혁재,20200170,피자
19,미래푸드,레트로지,남지웅,20200716,피자
20,(주)푸드죤,피자마루,이영존,20080100739,피자
21,라오니,라오니피자,김상진,20180998,피자
22,(주)세인에프앤씨,미사랑임실치즈피자,정희균,20080400010,피자
23,(주)다이닝팩토리,리골레토 시카고피자,"이광호, 이대현",20150048,피자
24,피자원,PIZZA ONE(피자원),김창원,20200702,피자
25,피자1번가,피자1번가,윤명희,20130407,피자
26,레꼬마피자,레꼬마 피자&타코,윤동주,20190422,피자
27,(주)훌랄라,애플틴,김병갑,20200301,피자
28,맥주를구한피자,맥주를구한피자,김형준,20190656,피자
29,(주)훌랄라,인앤피자,김병갑,20190354,피자
30,(주)비토랩,피자 비토랩,"성준수, 정우형",20190585,피자
31,피자야,피자야,곽은주,20191029,피자
32,(주)고피자,고피자(GOPIZZA),임재원,20180511,피자
33,(주)7번가사람들,7번가피자,양명덕,20090300004,피자
34,피자이탈리가맹사업본부,피자이탈리,이익균,20191281,피자
35,(주)착한피자,착한피자,유진,20170171,피자
36,(주)더오랩,피자오 크래프트(PIZZA O CRAFT),오준석,20190836,피자
37,제이제이푸드,닭쟁이 피자쟁이,조용조,20200616,피자
38,스카이하이(주),치즈쇼피자,신은호,20200173,피자
39,㈜에스엠푸드,낭만피자,전찬영,20171019,피자
40,(주)알볼로에프앤씨,피자알볼로,이재욱,20100100136,피자
41,(주)빅스타푸드,빅스타피자(Bigstar Pizza),박종현,20140747,피자
42,(유)승일푸드시스템,임실치즈피자,김영일,20080400023,피자
43,업텐브로피자체인본부,브로피자,이동규,20180053,피자
44,NC에프앤비,문문피자,허원찬,20191377,피자
45,1830피자협동조합,1830피자,정상용,20180296,피자
46,피자팬팬,피자팬팬,최현정,20200569,피자
47,(주)신성마을,피자빙고,정은여,20080100342,피자
48,피자캡틴즈,피자캡틴즈,이진근,20200567,피자
49,(주)김씨에프엔비,JANE&PAUL,김영규,20190271,피자
50,피자라네,피자라네,우현규,20200557,피자
51,(주)네오에프앤비,네오피자,서일영,20160718,피자
52,다인에프씨(주),피자네플러스,이현우,20200247,피자
53,(주)반올림식품,반올림피자샵,윤성원,20141019,피자
54,(주)윤검푸드,윤검푸드 봉수아피자,권미영,20191199,피자
55,엘리펀트피자,엘리펀트피자(ELEPHANT PIZZA),김현관,20180584,피자
56,(주)오리지널시카고피자,오리지널시카고,박인숙,20150140,피자
57,나루에프엔비,나루에프엔비톰스(나루F&B톰스),백승옥,20170872,피자
58,(주)긱스에프앤비,긱스피자,신영오,20190642,피자
59,피자명인,피자명인,고남운,20150502,피자
60,(주)제이피케이컴퍼니,오르새피자,장필구,20170227,피자
61,외식그룹진밭,미스터파파임실치즈피자,이정애,20100400012,피자
62,프레드피자(FREDPIZZA),프레드피자,이상화,20200522,피자
63,(주)오구본가,오구피자,임현종,20090100089,피자
64,오즈앙피자청주점,오즈앙,이경관,20191425,피자
65,에스에스엠코리아체인사업부,꼬꼬번피자&치킨,정성권,20191058,피자
66,왕손피자,왕손피자,주광규,20200448,피자
67,(주)엠피그룹,미스터피자,김흥연,20080100375,피자
68,시그널피자,시그널피자,박주연,20190010,피자
69,굿바이브,굿바이브(GOOD VIBE),배민석,20200424,피자
70,어썸피자,어썸피자,이상웅,20191202,피자
71,(주)프라이데이컴퍼니,빚짜(BEEZZA),강상우,20170505,피자
72,(주)골든하인드,피자리움,노영우,20200363,피자
73,(주)피자스쿨,피자스쿨,유혜미,20080100190,피자
74,피자인,피자인,정명재 외1명,20200352,피자
75,승탁푸드,피자앰플러,"박창승, 허원탁",20200320,피자
76,청오디피케이(주),도미노피자,오광현,20080100159,피자
77,하이스트피자,하이스트피자,안창호,20200199,피자
78,(주)웰빙을만드는사람들,뽕뜨락피자,명정길,20090100509,피자
79,서오릉피자,서오릉피자,양인식,20200152,피자
80,피자런,피자런,임재호,20200142,피자
81,옐로우피자,옐로우피자(YELLOW PIZZA),이재성,20170664,피자
82,청년피자가맹본부,청년피자,정관영,20180249,피자
83,(주)탑에프앤씨,엘에이치씨피자탑(LHC PIZZA TOP),임형철,20180889,피자
84,JK푸드,피자엠소마,김형준,20200018,피자
85,올스타피자,올스타피자,서진철,20191431,피자
86,(주)나눔프랜차이즈,수타5900,한옥선,20110300047,피자
87,피자쏭,마스터 피자쏭,김송일,20160106,피자
88,54번가푸드컨설팅,바이 더 피자 앤 치킨,김한영,20191323,피자
89,피굽남피자,피굽남피자,유성민,20190662,피자
90,덤덤피자,덤덤뉴욕스타일(DUM DUM New York Style),장태연,20191314,피자
91,몬스터에일,몬스터에일(MONSTER ALE),김재석,20180427,피자
92,"한명숙피자,치킨",한명숙피자치킨,한명숙,20160720,피자
93,㈜오엠케이컴퍼니,피맥하우스(PIMAc HOUSE New York Style Pizza Pub),김윤환,20191216,피자
94,(주)얌얌레시피치요남치킨,피자파는집,홍성민,20190263,피자
95,(주)그린푸드존,피자빅,김환석,20130100059,피자
96,골라먹는피제이(PJ)피자,피제이(PJ)피자,"진명훈,박천호",20180959,피자
97,피자꾼,피자꾼,이홍중,20160287,피자
98,블랙캡컴퍼니,블랙캡피자,김동설,20191139,피자
99,(주)리치빔,피자나라치킨공주,남양우,20080100496,피자
100,(주)디에스푸드,피자와치킨의러브레터,백기원,20080100412,피자
101,류길상피자&카페테리아,류길상피자,서보환,20170226,피자
102,꾸버스피자,꾸버스피자,박종일,20191097,피자
103,피자베이북구본점,피자베이,이광호,20180752,피자
104,(유)난타5000,난타5000피자,정재규,20120400012,피자
105,(주)피자브라더스,피자브라더스,차무진,20180330,피자
106,황철수피자,황철수피자,황광호,20100100621,피자
107,라르도,피제리아 라르도,정상목,20180762,피자
108,한국피자헛(유),피자헛,김명환,20080100397,피자
109,청년피자가맹본부,청년피자 EXPRESS,정관영,20191048,피자
110,100년의피체리아,100년의피자카페인시애틀,김한민,20160599,피자
111,54번가푸드컨설팅,피자투어,김한영,20080200194,피자
112,(주)남자피자,남자피자,장규석,20120100105,피자
113,피자오래,피자오래,김민서,20160234,피자
114,(주)피자애,피자애,이영완,20150315,피자
115,(주)레드캡,빨간모자피자,조형선,20150836,피자
116,(주)박낙원그룹,낙원스낵,박동일,20180705,피자
117,(주)엘루이홀딩스,엘루이(ELLUI)피자,고경현,20190972,피자
118,(주)피자헤븐코리아,피자헤븐,최광준,20100100460,피자
119,피자뿌,피자뿌,강철,20180269,피자
120,(주)희스토리푸드,핏제리아오,육경희,20190051,피자
121,피자토비,PIZZA BOX(피자박스),김정욱,20180419,피자
122,한국파파존스(주),파파존스피자,서창우,20080100076,피자
123,피자연합협동조합,피자연합,정종열,20171548,피자
124,(주)멀티푸드시스템,Port' Albs 피자굼터,곽성호,20080100250,피자
125,(주)스타푸드코리아,킹스타피자,이병철,20150271,피자
126,(주)파파밸리,파파밸리피자,김종헌,20150902,피자
127,(주)바이올푸드글로벌,피자와치킨,권지훈,20190716,피자
128,(주)씨에이치컴퍼니,피자스쿨,오창희,20120600009,피자
129,수앤미피자,수앤미피자,임성준,20160502,피자
130,피치랑가맹본부,피치랑,이미진,20180917,피자
131,피자네버슬립스,피자네버슬립스,"원대근, 김부영",20190562,피자
132,피자닷,피자닷,양지혁,20190537,피자
133,(주)NK로지스틱스,임실N치즈피자,김병이,20080400030,피자
134,(주)열정과배려,화덕피자 파숑,장지호,20140927,피자
135,헬로F&B,헬로피자,김윤겸,20180521,피자
136,(주)시대푸드,피자시대,정호열,20190384,피자
